url,houseInfo,region,totalPrice,unitPrice
http://bj.lianjia.com/ershoufang/101101360848.html, | 2室1厅 | 70.45平米 | 南 北 | 精装,万龙社区 ,440,62456
http://bj.lianjia.com/ershoufang/101101335388.html, | 2室1厅 | 88.75平米 | 东 南 北 | 简装 | 有电梯,保利嘉园三号院 ,490,55212
http://bj.lianjia.com/ershoufang/101101362813.html, | 2室1厅 | 69.82平米 | 南 | 精装 | 有电梯,忆江南 ,208,29791
http://bj.lianjia.com/ershoufang/101101017005.html, | 4室1厅 | 192.35平米 | 南 北 | 精装 | 有电梯,福城上上城五期 ,400,20796
http://bj.lianjia.com/ershoufang/101101384451.html, | 2室1厅 | 99.88平米 | 南 北 | 精装 | 无电梯,龙跃苑四区 ,560,56068
http://bj.lianjia.com/ershoufang/101101387749.html, | 2室1厅 | 96.63平米 | 南 | 精装,日光清城 ,520,53814
http://bj.lianjia.com/ershoufang/101101233262.html, | 4室2厅 | 166.82平米 | 东南 西北 | 精装 | 有电梯,远大园六区 ,1850,110898
http://bj.lianjia.com/ershoufang/101101353214.html, | 3室2厅 | 128.66平米 | 南 北 | 精装,天通苑本三区 ,540,41972
http://bj.lianjia.com/ershoufang/101101315901.html, | 3室2厅 | 107平米 | 西北 | 精装 | 有电梯,西三环北路105号院 ,1220,114019
http://bj.lianjia.com/ershoufang/101101431330.html, | 2室2厅 | 89.94平米 | 南 | 精装,远洋一方花语苑 ,575,63932
http://bj.lianjia.com/ershoufang/101101076836.html, | 3室1厅 | 123.45平米 | 南 北 | 精装,星河皓月 ,410,33212
http://bj.lianjia.com/ershoufang/101101405194.html, | 2室1厅 | 67.88平米 | 南 | 精装 | 无电梯,玉桥南里 ,398,58633
http://bj.lianjia.com/ershoufang/101101253696.html, | 1室1厅 | 57.21平米 | 南 | 简装 | 有电梯,福城上上城五期 ,177,30939
http://bj.lianjia.com/ershoufang/101101047743.html, | 2室1厅 | 79.82平米 | 南 北 | 精装 | 有电梯,福城上上城五期 ,201,25182
http://bj.lianjia.com/ershoufang/101101259740.html, | 1室1厅 | 69.07平米 | 南 | 简装 | 有电梯,福城上上城五期 ,200,28957
http://bj.lianjia.com/ershoufang/101101048842.html, | 2室1厅 | 75.55平米 | 南 | 简装 | 有电梯,福城上上城五期 ,205,27135
